S. No.,Title,Links,Website
1,Android,https://www.courseya.com/android-mcq/,Courseya
2,Angular 2,https://www.courseya.com/angular-2-mcq/,Courseya
3,Angular JS,https://www.courseya.com/angular-js-mcq/,Courseya
4,Artificial Intelligence,https://www.courseya.com/artificial-intelligence-mcq/,Courseya
5,Artificial Intelligence,https://rank.sanfoundry.com/artificial-intelligence-tests,Sanfoundry
6,C++,https://www.courseya.com/cplus-plus-mcq/,Courseya
7,Cloud computing,https://rank.sanfoundry.com/cloud-computing-tests,Sanfoundry
8,Compiler DESIGN,https://www.courseya.com/compiler-design-mcq/,Courseya
9,Computer Architecture,https://rank.sanfoundry.com/computer-organization-architecture-tests,Sanfoundry
10,Computer graphics,https://www.courseya.com/computer-graphics-mcq/,Courseya
11,Computer NETWORK,https://www.courseya.com/computer-network-mcq-questions/,Courseya
12,Computer Network,https://rank.sanfoundry.com/computer-networks-tests,Sanfoundry
13,CSS,https://www.courseya.com/css-mcq/,Courseya
14,Data Structures,https://www.courseya.com/data-structure-mcq/,Courseya
15,Data Structures,https://rank.sanfoundry.com/data-structures-i-tests,Sanfoundry
16,Data Structures,https://rank.sanfoundry.com/data-structures-ii-tests,Sanfoundry
17,Dbms,https://www.courseya.com/dbms-mcq/,Courseya
18,Dbms,https://rank.sanfoundry.com/database-management-system-tests,Sanfoundry
19,Discreet Mathematics,https://rank.sanfoundry.com/discreet-mathematics-tests,Sanfoundry
20,HTML,https://www.courseya.com/html-mcq/,Courseya
21,Java,https://www.courseya.com/java-mcq/,Courseya
22,Java Script,https://www.courseya.com/javascript-mcq/,Courseya
23,Json,https://www.courseya.com/json-mcq/,Courseya
24,Linux,https://www.courseya.com/linux-mcq-questions/,Courseya
25,MICROCONTROLLER,https://www.courseya.com/microcontroller-mcq/,Courseya
26,Microcontroller,https://rank.sanfoundry.com/microcontroller-tests,Sanfoundry
27,Microprocessor,https://rank.sanfoundry.com/microprocessor-tests,Sanfoundry
28,NLP,https://www.courseya.com/nlp-mcq/,Courseya
29,Node JS,https://www.courseya.com/node-js-mcq/,Courseya
30,OOPS,https://www.courseya.com/oops-mcq-questions/,Courseya
31,OOPS,https://rank.sanfoundry.com/object-oriented-programming-tests,Sanfoundry
32,OPERATING SYSTEM,https://www.courseya.com/operating-system-mcq/,Courseya
33,OPERATING SYSTEM,https://rank.sanfoundry.com/operating-system-tests,Sanfoundry
34,PHP,https://www.courseya.com/php-mcq/,Courseya
35,Python,https://www.courseya.com/python-mcq/,Courseya
36,React JS,https://www.courseya.com/react-js-mcq/,Courseya
37,Software Engineering,https://rank.sanfoundry.com/software-engineering-tests,Sanfoundry
38,Sql SERVER,https://www.courseya.com/sql-server-mcq-questions/,Courseya
39,WORDPRESS,https://www.courseya.com/wordpress-mcq/,Courseya